years,1965-01-01,1966-01-01,1967-01-01,1968-01-01,1969-01-01,1970-01-01,1971-01-01,1972-01-01,1973-01-01,1974-01-01,1975-01-01,1976-01-01,1977-01-01,1978-01-01,1979-01-01,1980-01-01,1981-01-01,1982-01-01,1983-01-01,1984-01-01,1985-01-01,1986-01-01,1987-01-01,1988-01-01,1989-01-01,1990-01-01,1991-01-01,1992-01-01,1993-01-01,1994-01-01,1995-01-01,1996-01-01,1997-01-01,1998-01-01,1999-01-01,2000-01-01,2001-01-01,2002-01-01,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01
price,2.6,2.9,3.2,3.6,4,4.7,5.3,5.9,6.1,7.6,9.5,10.9,12,13.8,16.3,21,25.4,27.3,28.2,28.8,29.6,30.4,31.3,33.5,35.4,38.5,42.1,44.7,46.8,49.8,52,54.6,57,61.3,61.8,63.2,65.7,67.5,69.9,72.4,74.4,76.1,78,81.7,83.9,86.4,89.9,91.8,93,94.2,94.9,95.8,97.6,99.1,99.5,100,102.5
variance,0,0.3,0.3,0.4,0.4,0.7,0.6,0.6,0.2,1.5,1.9,1.4,1.1,1.8,2.5,4.7,4.4,1.9,0.9,0.6,0.8,0.8,0.9,2.2,1.9,3.1,3.6,2.6,2.1,3,2.2,2.6,2.4,4.3,0.5,1.4,2.5,1.8,2.4,2.5,2,1.7,1.9,3.7,2.2,2.5,3.5,1.9,1.2,1.2,0.7,0.9,1.8,1.5,0.4,0.5,2.5
