,predicted_mean
2006-01-01,0.0
2006-07-01,114.76009115506916
2007-01-01,47.89166126645439
2007-07-01,55.99987522604162
2008-01-01,54.586561076332316
2008-07-01,54.58385946835243
2009-01-01,53.57359661005202
2009-07-01,50.00788813411304
2010-01-01,53.4824996998721
2010-07-01,53.56916135146847
2011-01-01,54.480317761466935
2011-07-01,59.16400607396662
2012-01-01,64.3250370338516
2012-07-01,67.75644861537286
2013-01-01,65.54154514800899
2013-07-01,70.05913969925471
2014-01-01,75.5331153847599
2014-07-01,80.31081266097898
2015-01-01,79.28918397236863
2015-07-01,85.22929651361936
2016-01-01,88.87071666873216
2016-07-01,84.69884891631722
2017-01-01,82.30787210192129
2017-07-01,82.26638006303062
2018-01-01,84.00157100824977
2018-07-01,85.69411427258434
2019-01-01,87.00574848751322
2019-07-01,87.02772801902816
2020-01-01,85.66595926765989
2020-07-01,88.26569712479451
2021-01-01,91.9010884819124
2021-07-01,106.67413983979974
2022-01-01,101.90514821318828
2022-07-01,98.85122682240059
2023-01-01,97.85037203217948
2023-07-01,97.05658633128435
2024-01-01,96.09622070474911
2024-07-01,95.18771125216607
2025-01-01,94.20335971208141
