,predicted_mean
2006-01-01,0.0
2006-07-01,84.1051078346815
2007-01-01,68.72999658812095
2007-07-01,80.96834854971384
2008-01-01,74.15069678166667
2008-07-01,82.58119830730993
2009-01-01,79.1534159147662
2009-07-01,74.85814443281745
2010-01-01,78.87720007882079
2010-07-01,74.51783530150888
2011-01-01,73.90166257008494
2011-07-01,74.86415317258174
2012-01-01,74.66516123651505
2012-07-01,73.4714029776406
2013-01-01,69.88868109867856
2013-07-01,69.09466786906253
2014-01-01,69.53222530216777
2014-07-01,71.36946727503208
2015-01-01,71.38054720438441
2015-07-01,75.1792883683052
2016-01-01,76.80918822951156
2016-07-01,77.23324477501636
2017-01-01,77.72996730910674
2017-07-01,77.971988551181
2018-01-01,79.51843580702955
2018-07-01,79.21476829066351
2019-01-01,80.55291379712561
2019-07-01,78.41930174675569
2020-01-01,79.13649886917233
2020-07-01,85.78337921371421
2021-01-01,89.98214880283518
2021-07-01,102.94556574530016
2022-01-01,114.37953994404579
2022-07-01,110.01522315828629
2023-01-01,114.65451014434636
2023-07-01,118.53305598269239
2024-01-01,122.55759520534532
2024-07-01,126.55411692385059
2025-01-01,130.55601546502757
