,predicted_mean
2006-01-01,0.0
2006-07-01,79.56008640120228
2007-01-01,52.31994684066742
2007-07-01,52.91537268224606
2008-01-01,52.92747012289369
2008-07-01,55.233218832140444
2009-01-01,57.15518667724047
2009-07-01,56.1614281882705
2010-01-01,60.77108171029751
2010-07-01,65.36713047153242
2011-01-01,70.21793791659599
2011-07-01,84.6279187168866
2012-01-01,85.96824288327107
2012-07-01,83.28074757055703
2013-01-01,80.27979188158537
2013-07-01,81.22572918608367
2014-01-01,80.50178148659474
2014-07-01,82.25621623799178
2015-01-01,82.02348397182267
2015-07-01,84.89547638629804
2016-01-01,86.73174659451941
2016-07-01,87.159637409986
2017-01-01,90.47725121956229
2017-07-01,92.11325782953709
2018-01-01,92.19427818630786
2018-07-01,89.58550378348498
2019-01-01,87.98728713596604
2019-07-01,85.92883757927015
2020-01-01,84.91736467057521
2020-07-01,87.20847746759944
2021-01-01,91.49591168485155
2021-07-01,105.85940667166135
2022-01-01,106.07664462033905
2022-07-01,107.25213656132856
2023-01-01,108.78152538443904
2023-07-01,110.31904496772044
2024-01-01,111.86039646949419
2024-07-01,113.40355390318864
2025-01-01,114.94756244843688
