,predicted_mean
2006-01-01,0.0
2006-07-01,52.7805136578312
2007-01-01,56.6681439835787
2007-07-01,65.4573823244389
2008-01-01,68.51203479012113
2008-07-01,76.11880159784495
2009-01-01,86.46047778944052
2009-07-01,80.30668914652924
2010-01-01,79.90129449487964
2010-07-01,79.82394721467136
2011-01-01,77.2439210108336
2011-07-01,77.40956041273448
2012-01-01,76.35292743863648
2012-07-01,74.84996786721763
2013-01-01,71.78343179360455
2013-07-01,69.6322003999501
2014-01-01,71.303982600512
2014-07-01,73.88254034684154
2015-01-01,74.66784760279552
2015-07-01,76.40848749359407
2016-01-01,78.9704251470721
2016-07-01,79.0129599631923
2017-01-01,79.42909372180938
2017-07-01,79.52643681150866
2018-01-01,80.62287327007229
2018-07-01,80.75223033348595
2019-01-01,79.96547089707511
2019-07-01,80.0135946110866
2020-01-01,79.95143135061464
2020-07-01,85.32759001669739
2021-01-01,89.87259494836958
2021-07-01,98.56415512752173
2022-01-01,114.78930973959048
2022-07-01,113.50296337796284
2023-01-01,116.2684732583844
2023-07-01,118.43710986190952
2024-01-01,120.12733405874093
2024-07-01,121.44573579410972
2025-01-01,122.47400309818535
